id,studentid,jobid,action,content
441,2015011253,0,BEGIN_READING,TIMESTAMP=1446040974177	USER=2015011253	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
442,2015011253,0,END_READING,TIMESTAMP=1446041090861	USER=2015011253	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=3
443,2015011253,0,TIME_ESTIMATION,TIMESTAMP=1446041101029	USER=2015011253	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=219
444,2015011253,0,BEGIN_READING,TIMESTAMP=1446041103277	USER=2015011253	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
445,2015011253,0,END_READING,TIMESTAMP=1446041228980	USER=2015011253	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
446,2015011253,0,TIME_ESTIMATION,TIMESTAMP=1446041237228	USER=2015011253	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=247
447,2015011253,1,BEGIN_CALIBRATION,TIMESTAMP=1446041283112	USER=2015011253	JOBID=1	ACTION=BEGIN_CALIBRATION	INFO:
448,2015011253,1,END_CALIBRATION,TIMESTAMP=1446041348825	USER=2015011253	JOBID=1	ACTION=END_CALIBRATION	INFO:
449,2015011253,1,BEGIN_READING,TIMESTAMP=1446041352262	USER=2015011253	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
450,2015011253,1,END_READING,TIMESTAMP=1446041624817	USER=2015011253	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
451,2015011253,1,TIME_ESTIMATION,TIMESTAMP=1446041632725	USER=2015011253	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=256
452,2015011253,1,BEGIN_READING,TIMESTAMP=1446041635474	USER=2015011253	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
453,2015011253,1,END_READING,TIMESTAMP=1446041822937	USER=2015011253	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
454,2015011253,1,TIME_ESTIMATION,TIMESTAMP=1446041829340	USER=2015011253	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=271
455,2015011253,1,BEGIN_READING,TIMESTAMP=1446041831399	USER=2015011253	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
456,2015011253,1,END_READING,TIMESTAMP=1446041996535	USER=2015011253	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
457,2015011253,1,TIME_ESTIMATION,TIMESTAMP=1446042004171	USER=2015011253	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=206
458,2015011253,1,BEGIN_READING,TIMESTAMP=1446042006700	USER=2015011253	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
459,2015011253,1,END_READING,TIMESTAMP=1446042155152	USER=2015011253	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
460,2015011253,1,TIME_ESTIMATION,TIMESTAMP=1446042160969	USER=2015011253	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=210
