id,studentid,jobid,action,content
63,2015012616,3,OUTCOME,"TIMESTAMP=1449746503152	USER=2015012616	JOBID=3	DOCID=0	ACTION=OUTCOME	INFO:answer=Ivy League is thought to have something to do with ""IV"", a number, standing for 4 schools including Yale, Harvard, Princeton and an uncertain one. Besides, people think Ivy League may refer to an athletic meeting. Third, Ivy League is linked to the Ivy day during which people would plant ivy in the school."
64,2015012616,4,BEGIN_READING,TIMESTAMP=1449746934822	USER=2015012616	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
65,2015012616,4,END_READING,TIMESTAMP=1449747070466	USER=2015012616	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=1
66,2015012616,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449747074650	USER=2015012616	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
67,2015012616,4,BEGIN_READING,TIMESTAMP=1449747076203	USER=2015012616	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
68,2015012616,4,END_READING,TIMESTAMP=1449747185954	USER=2015012616	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=2
69,2015012616,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449747188026	USER=2015012616	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=3
70,2015012616,4,BEGIN_READING,TIMESTAMP=1449747189859	USER=2015012616	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
71,2015012616,4,END_READING,TIMESTAMP=1449747256441	USER=2015012616	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=3
72,2015012616,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449747258425	USER=2015012616	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=0
73,2015012616,4,BEGIN_READING,TIMESTAMP=1449747259770	USER=2015012616	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
74,2015012616,4,END_READING,TIMESTAMP=1449747277361	USER=2015012616	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=4
75,2015012616,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449747280713	USER=2015012616	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
76,2015012616,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449747282880	USER=2015012616	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=-1
77,2015012616,4,TIME_ESTIMATION,TIMESTAMP=1449747299178	USER=2015012616	JOBID=4	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=625_912_974_
78,2015012616,4,RELATIVE_ESTIMATION,TIMESTAMP=1449747363185	USER=2015012616	JOBID=4	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_9_13_8_12_1_3_1_2_23_25 Relative=100_94_15_12_
