studentid,taskid,docid,docrank,perceived relevance,dwell time,time1,time2_low,time2_high,time3,,R,IR,R-dtime,IR-dtime,avg-R-dtime,avg-IR-dtime,avg-(R-IR)-dtime
2014012759,5,4,2,0,79.2,316,100,110,93,,FALSE,TRUE,0,79.2,,,
2014012759,5,5,3,0,90.2,194,60,70,81,,FALSE,TRUE,0,90.2,,,
2014012759,5,2,4,3,115.2,235,80,90,90,,TRUE,FALSE,115.2,0,,,
2015012609,2,4,1,0,138.9,218,100,120,69,,FALSE,TRUE,0,138.9,135.5857143,127.3222222,8.263492063
2015012609,2,5,2,1,121.4,221,100,120,59,,FALSE,TRUE,0,121.4,,,
2015012609,2,1,3,3,135.2,298,110,130,90,,TRUE,FALSE,135.2,0,,,
2015012609,2,2,4,3,136.7,263,100,120,70,,TRUE,FALSE,136.7,0,,,
2015012609,3,1,1,3,169,273,100,120,92,,TRUE,FALSE,169,0,,,
2015012609,3,2,2,1,174.6,309,100,120,83,,FALSE,TRUE,0,174.6,,,
2015012609,3,4,3,1,132.8,235,70,90,65,,FALSE,TRUE,0,132.8,,,
2015012609,3,5,4,0,125.9,183,60,80,52,,FALSE,TRUE,0,125.9,,,
2015012609,4,1,1,3,143.7,278,110,130,87,,TRUE,FALSE,143.7,0,,,
2015012609,4,4,2,0,135.9,245,100,120,71,,FALSE,TRUE,0,135.9,,,
2015012609,4,2,3,3,127.2,269,110,130,78,,TRUE,FALSE,127.2,0,,,
2015012609,4,5,4,0,117.7,208,90,110,62,,FALSE,TRUE,0,117.7,,,
2015012609,5,1,1,3,130.5,297,110,130,92,,TRUE,FALSE,130.5,0,,,
2015012609,5,4,2,0,96.8,217,90,120,76,,FALSE,TRUE,0,96.8,,,
2015012609,5,5,3,1,101.9,222,90,120,64,,FALSE,TRUE,0,101.9,,,
2015012609,5,2,4,3,106.8,264,110,130,84,,TRUE,FALSE,106.8,0,,,
2015012642,2,1,1,3,140.7,415,120,160,73,,TRUE,FALSE,140.7,0,126.1625,23.2875,102.875
2015012642,2,4,2,0,12,71,0,20,14,,FALSE,TRUE,0,12,,,
2015012642,2,2,3,2,171.4,484,150,200,100,,TRUE,FALSE,171.4,0,,,
2015012642,2,5,4,1,7.5,30,0,10,7,,FALSE,TRUE,0,7.5,,,
2015012642,3,1,1,3,137.3,536,100,150,100,,TRUE,FALSE,137.3,0,,,
2015012642,3,2,2,2,86.7,354,90,140,80,,TRUE,FALSE,86.7,0,,,
2015012642,3,4,3,1,20.8,82,0,10,10,,FALSE,TRUE,0,20.8,,,
2015012642,3,5,4,0,7.4,28,0,10,7,,FALSE,TRUE,0,7.4,,,
2015012642,4,4,1,1,86.2,164,40,100,37,,FALSE,TRUE,0,86.2,,,
2015012642,4,5,2,0,34.3,350,140,200,100,,FALSE,TRUE,0,34.3,,,
2015012642,4,1,3,3,153.2,71,30,70,14,,TRUE,FALSE,153.2,0,,,
2015012642,4,2,4,3,199.8,415,120,200,85,,TRUE,FALSE,199.8,0,,,
2015012642,5,1,1,3,71.8,484,40,60,100,,TRUE,FALSE,71.8,0,,,
2015012642,5,4,2,1,10.1,67,0,10,8,,FALSE,TRUE,0,10.1,,,
2015012642,5,5,3,1,8,34,0,10,4,,FALSE,TRUE,0,8,,,
2015012642,5,2,4,3,48.4,415,30,50,74,,TRUE,FALSE,48.4,0,,,
2014012772,2,1,1,3,108.5,404,30,50,93,,TRUE,FALSE,108.5,0,87.3125,49.175,38.1375
2014012772,2,4,2,0,57,64,20,30,14,,FALSE,TRUE,0,57,,,
2014012772,2,2,3,2,83.5,483,30,40,100,,TRUE,FALSE,83.5,0,,,
2014012772,2,5,4,0,13.3,49,0,10,6,,FALSE,TRUE,0,13.3,,,
2014012772,3,1,1,2,82.5,267,20,40,89,,TRUE,FALSE,82.5,0,,,
2014012772,3,4,2,1,66.7,272,20,30,63,,FALSE,TRUE,0,66.7,,,
2014012772,3,5,3,1,80.6,255,20,30,70,,FALSE,TRUE,0,80.6,,,
2014012772,3,2,4,3,75.4,206,20,40,84,,TRUE,FALSE,75.4,0,,,
2014012772,4,4,1,0,91.9,278,20,40,76,,FALSE,TRUE,0,91.9,,,
2014012772,4,5,2,0,43.5,180,10,20,13,,FALSE,TRUE,0,43.5,,,
2014012772,4,1,3,3,78.4,134,30,40,42,,TRUE,FALSE,78.4,0,,,
2014012772,4,2,4,3,83.2,408,30,50,100,,TRUE,FALSE,83.2,0,,,
2014012772,5,1,1,3,101.8,328,20,40,92,,TRUE,FALSE,101.8,0,,,
2014012772,5,2,2,2,85.2,385,20,30,94,,TRUE,FALSE,85.2,0,,,
2014012772,5,4,3,0,18.7,83,0,10,8,,FALSE,TRUE,0,18.7,,,
2014012772,5,5,4,1,21.7,204,10,20,44,,FALSE,TRUE,0,21.7,,,
2015012649,2,1,1,3,91.6,232,60,70,76,,TRUE,FALSE,91.6,0,93.92222222,77.6,16.32222222
2015012649,2,4,2,0,80.3,250,70,80,85,,FALSE,TRUE,0,80.3,,,
2015012649,2,5,3,1,79.8,266,80,90,90,,FALSE,TRUE,0,79.8,,,
2015012649,2,2,4,3,109.7,252,80,90,92,,TRUE,FALSE,109.7,0,,,
2015012649,3,1,1,2,93.3,324,60,70,100,,TRUE,FALSE,93.3,0,,,
2015012649,3,4,2,1,81.7,193,40,50,57,,FALSE,TRUE,0,81.7,,,
2015012649,3,2,3,3,81.8,188,50,60,61,,TRUE,FALSE,81.8,0,,,
2015012649,3,5,4,2,91.6,295,60,70,83,,TRUE,FALSE,91.6,0,,,
2015012649,4,1,1,3,111,225,60,70,84,,TRUE,FALSE,111,0,,,
2015012649,4,2,2,1,84.8,179,50,60,65,,FALSE,TRUE,0,84.8,,,
2015012649,4,4,3,3,102.9,245,60,70,65,,TRUE,FALSE,102.9,0,,,
2015012649,4,5,4,0,89.6,351,70,80,94,,FALSE,TRUE,0,89.6,,,
2015012649,5,4,1,3,94.7,324,60,70,97,,TRUE,FALSE,94.7,0,,,
