id,studentid,jobid,action,content
221,2015011286,0,END_READING,TIMESTAMP=1447334762183	USER=2015011286	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
222,2015011286,0,TIME_ESTIMATION,TIMESTAMP=1447334776544	USER=2015011286	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=75 REL=1 ANS=A
223,2015011286,0,BEGIN_READING,TIMESTAMP=1447334778192	USER=2015011286	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
224,2015011286,0,END_READING,TIMESTAMP=1447334867692	USER=2015011286	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=3
225,2015011286,0,TIME_ESTIMATION,TIMESTAMP=1447334881793	USER=2015011286	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=57 REL=0 ANS=D
226,2015011286,0,BEGIN_READING,TIMESTAMP=1447334883393	USER=2015011286	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
227,2015011286,0,END_READING,TIMESTAMP=1447334966273	USER=2015011286	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
228,2015011286,0,TIME_ESTIMATION,TIMESTAMP=1447334981641	USER=2015011286	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=37 REL=0 ANS=B
229,2015011286,1,BEGIN_CALIBRATION,TIMESTAMP=1447335017325	USER=2015011286	JOBID=1	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
230,2015011286,1,END_CALIBRATION,TIMESTAMP=1447335059190	USER=2015011286	JOBID=1	DOCID=0	ACTION=END_CALIBRATION	INFO:
231,2015011286,1,BEGIN_CALIBRATION,TIMESTAMP=1447335062191	USER=2015011286	JOBID=1	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
232,2015011286,1,END_CALIBRATION,TIMESTAMP=1447335222688	USER=2015011286	JOBID=1	DOCID=9	ACTION=END_CALIBRATION	INFO:
233,2015011286,1,BEGIN_READING,TIMESTAMP=1447335229654	USER=2015011286	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
234,2015011286,1,END_READING,TIMESTAMP=1447335396553	USER=2015011286	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
235,2015011286,1,TIME_ESTIMATION,TIMESTAMP=1447335408471	USER=2015011286	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=99 REL=3 ANS=C
236,2015011286,1,BEGIN_READING,TIMESTAMP=1447335409622	USER=2015011286	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
237,2015011286,1,END_READING,TIMESTAMP=1447335506268	USER=2015011286	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
238,2015011286,1,TIME_ESTIMATION,TIMESTAMP=1447335517951	USER=2015011286	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=53 REL=0 ANS=D
239,2015011286,1,BEGIN_READING,TIMESTAMP=1447335518955	USER=2015011286	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
240,2015011286,1,END_READING,TIMESTAMP=1447335627404	USER=2015011286	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
241,2015011286,1,TIME_ESTIMATION,TIMESTAMP=1447335696737	USER=2015011286	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=78 REL=1 ANS=A
242,2015011286,1,BEGIN_READING,TIMESTAMP=1447335698505	USER=2015011286	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
243,2015011286,1,END_READING,TIMESTAMP=1447335769849	USER=2015011286	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
244,2015011286,1,TIME_ESTIMATION,TIMESTAMP=1447335779036	USER=2015011286	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=37 REL=0 ANS=C
245,2015011286,2,BEGIN_CALIBRATION,TIMESTAMP=1447335815287	USER=2015011286	JOBID=2	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
246,2015011286,2,END_CALIBRATION,TIMESTAMP=1447335888652	USER=2015011286	JOBID=2	DOCID=0	ACTION=END_CALIBRATION	INFO:
247,2015011286,2,BEGIN_CALIBRATION,TIMESTAMP=1447335891485	USER=2015011286	JOBID=2	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
248,2015011286,2,END_CALIBRATION,TIMESTAMP=1447336049651	USER=2015011286	JOBID=2	DOCID=9	ACTION=END_CALIBRATION	INFO:
249,2015011286,2,BEGIN_READING,TIMESTAMP=1447336057365	USER=2015011286	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
250,2015011286,2,END_READING,TIMESTAMP=1447336155532	USER=2015011286	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
251,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336172932	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=57 REL=2 ANS=B
252,2015011286,2,BEGIN_READING,TIMESTAMP=1447336174865	USER=2015011286	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
253,2015011286,2,END_READING,TIMESTAMP=1447336226667	USER=2015011286	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
254,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336234449	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=31 REL=0 ANS=B
255,2015011286,2,BEGIN_READING,TIMESTAMP=1447336237485	USER=2015011286	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
256,2015011286,2,END_READING,TIMESTAMP=1447336286365	USER=2015011286	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
257,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336315798	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=25 REL=0 ANS=D
258,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336319868	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=25 REL=0 ANS=X
259,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336328619	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=25 REL=0 ANS=D
260,2015011286,2,BEGIN_READING,TIMESTAMP=1447336329682	USER=2015011286	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
261,2015011286,2,END_READING,TIMESTAMP=1447336374529	USER=2015011286	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
262,2015011286,2,TIME_ESTIMATION,TIMESTAMP=1447336403595	USER=2015011286	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=26 REL=0 ANS=C
263,2015011286,3,BEGIN_CALIBRATION,TIMESTAMP=1447336426266	USER=2015011286	JOBID=3	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
264,2015011286,3,END_CALIBRATION,TIMESTAMP=1447336484695	USER=2015011286	JOBID=3	DOCID=0	ACTION=END_CALIBRATION	INFO:
265,2015011286,3,BEGIN_CALIBRATION,TIMESTAMP=1447336492347	USER=2015011286	JOBID=3	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
266,2015011286,3,END_CALIBRATION,TIMESTAMP=1447336727740	USER=2015011286	JOBID=3	DOCID=9	ACTION=END_CALIBRATION	INFO:
267,2015011286,3,BEGIN_READING,TIMESTAMP=1447336734827	USER=2015011286	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
268,2015011286,3,END_READING,TIMESTAMP=1447336833109	USER=2015011286	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
269,2015011286,3,TIME_ESTIMATION,TIMESTAMP=1447336851825	USER=2015011286	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=56 REL=2 ANS=B
270,2015011286,3,BEGIN_READING,TIMESTAMP=1447336853728	USER=2015011286	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
271,2015011286,3,END_READING,TIMESTAMP=1447337028611	USER=2015011286	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
272,2015011286,3,TIME_ESTIMATION,TIMESTAMP=1447337040276	USER=2015011286	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=91 REL=0 ANS=C
273,2015011286,3,BEGIN_READING,TIMESTAMP=1447337041176	USER=2015011286	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
274,2015011286,3,END_READING,TIMESTAMP=1447337210988	USER=2015011286	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
275,2015011286,3,TIME_ESTIMATION,TIMESTAMP=1447337226008	USER=2015011286	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=94 REL=0 ANS=D
276,2015011286,3,BEGIN_READING,TIMESTAMP=1447337228778	USER=2015011286	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
