userid	relevant_before	taskid	estimation	perceived_ratio	perceived_ratio_bin
U7	True	5	SEG	0.00531489734493	2
U7	True	5	RAN	0.0164726142156	2
U7	True	5	REL	-0.0651683502457	1
U7	True	5	SEG	-0.305988629843	0
U7	True	5	RAN	-0.310831254319	0
U7	True	5	REL	-0.0416112447067	1
U8	False	2	SEG	0.750343898827	4
U8	False	2	RAN	0.168071414613	2
U8	False	2	REL	-0.217591066199	1
U8	False	2	SEG	-0.00577748149384	2
U8	False	2	RAN	0.0594867035995	2
U8	False	2	REL	-0.0474623747434	1
U8	False	2	SEG	0.967638535966	4
U8	False	2	RAN	0.0931692989456	2
U8	False	2	REL	-0.301824509295	0
U8	False	2	SEG	0.211517155645	3
U8	False	2	RAN	-0.0154154120674	2
U8	False	2	REL	-0.131695817839	1
U8	False	3	SEG	0.112223528479	2
U8	False	3	RAN	0.117088238589	2
U8	False	3	REL	-0.0168341914624	2
U8	False	3	SEG	0.511605070923	4
U8	False	3	RAN	0.706489284923	4
U8	False	3	REL	0.499309584598	4
U8	True	3	SEG	-0.220118333012	1
U8	True	3	RAN	-0.250913803301	1
U8	True	3	REL	-0.361579371188	0
U8	True	3	SEG	0.179263209432	3
U8	True	3	RAN	0.338487243033	3
U8	True	3	REL	0.154564404872	2
U8	True	4	SEG	-0.348587148606	0
U8	True	4	RAN	-0.395686035458	0
U8	True	4	REL	-0.887248360149	0
U8	True	4	SEG	-0.20127843705	1
U8	True	4	RAN	-0.153761347527	1
U8	True	4	REL	-0.817173929144	0
U8	True	4	SEG	-0.731661170173	0
U8	True	4	RAN	-0.570184450254	0
U8	True	4	REL	-1.13289143076	0
U8	True	4	SEG	-0.584352458617	0
U8	True	4	RAN	-0.328259762323	0
U8	True	4	REL	-1.06281699975	0
U8	False	5	SEG	0.00759775363276	2
U8	False	5	RAN	0.154992643336	2
U8	False	5	REL	-0.294147528275	0
U8	False	5	SEG	-0.0673080781275	1
U8	False	5	RAN	0.280724980895	3
U8	False	5	REL	0.209461960873	3
U8	True	5	SEG	0.309289802046	3
U8	True	5	RAN	0.296430228984	3
U8	True	5	REL	-0.151983462391	1
U8	False	5	SEG	0.234383970286	3
U8	False	5	RAN	0.422162566543	4
U8	False	5	REL	0.351626026757	3
U9	False	2	SEG	0.398060160102	3
U9	False	2	RAN	0.461034959263	4
U9	False	2	REL	0.317934115622	3
U9	False	2	SEG	0.0527878482607	2
U9	False	2	RAN	0.318286911534	3
U9	False	2	REL	0.175186067893	3
U9	True	2	SEG	0.0182032065264	2
U9	True	2	RAN	0.258344334209	3
U9	True	2	REL	-0.158049844431	1
U9	True	2	SEG	-0.327069105315	0
U9	True	2	RAN	0.11559628648	2
U9	True	2	REL	-0.300797892161	0
U9	False	3	SEG	0.16412613603	2
U9	False	3	RAN	1.10254543041	4
U9	False	3	REL	-0.352741802192	0
U9	False	3	SEG	-0.370223569729	0
U9	False	3	RAN	0.333075982295	3
U9	False	3	REL	-0.246742512958	1
U9	False	3	SEG	-0.570591717961	0
U9	False	3	RAN	0.258643824354	3
U9	False	3	REL	-1.30997209356	0
U9	False	3	SEG	-1.10494142372	0
U9	False	3	RAN	-0.510825623766	0
U9	False	3	REL	-1.20397280433	0
U9	False	4	SEG	0.00342958510172	2
U9	False	4	RAN	-0.0996298409488	1
U9	False	4	REL	-0.615228743467	0
U9	False	4	SEG	0.169241332932	2
U9	False	4	RAN	0.810930216216	4
U9	False	4	REL	-0.703197516413	0
U9	True	4	SEG	0.743100047877	4
U9	True	4	RAN	0.624000356336	4
U9	True	4	REL	0.624000356336	4
U9	False	4	SEG	0.908911795707	4
U9	False	4	RAN	1.5345604135	4
U9	False	4	REL	0.53603158339	4
U9	True	5	SEG	0.163087634542	2
U9	True	5	RAN	1.11153547805	4
U9	True	5	REL	-0.0726346989794	1
U9	True	5	SEG	0.116105789129	2
U9	True	5	RAN	0.520667146611	4
U9	True	5	REL	-0.152677406653	1
U9	True	5	SEG	0.0589972821571	2
U9	True	5	RAN	0.602883768184	4
U9	True	5	REL	-0.0296387905596	1
U9	True	5	SEG	0.0120154367444	2
U9	True	5	RAN	0.0120154367444	2
U9	True	5	REL	-0.109681498233	1
U10	False	2	SEG	0.696124671143	4
U10	False	2	RAN	-0.177334015283	1
U10	False	2	REL	0.810321202799	4
U10	False	2	SEG	0.30464580501	3
U10	False	2	RAN	-0.400477566597	0
U10	False	2	REL	0.587177651485	4
U10	True	2	SEG	0.7396883267	4
U10	True	2	RAN	-0.203107524554	1
U10	True	2	REL	0.692980500003	4
U10	False	2	SEG	0.348209460567	3
U10	False	2	RAN	-0.426251075868	0
U10	False	2	REL	0.469836948689	4
U10	False	3	SEG	0.0098004122601	2
U10	False	3	RAN	-1.3316604988	0
U10	False	3	REL	-0.415369766927	0
U10	False	3	SEG	-0.0312413383318	1
U10	False	3	RAN	-0.298187512304	0
U10	False	3	REL	0.261428275631	3
U10	False	3	SEG	-0.0350767687903	1
U10	False	3	RAN	-1.70799331885	0
U10	False	3	REL	-0.651940644601	0
U10	False	3	SEG	-0.0761185193822	1
U10	False	3	RAN	-0.674520332353	0
U10	False	3	REL	0.0248573979578	2
U10	True	4	SEG	1.41226063042	4
U10	True	4	RAN	0.911546316258	4
U10	True	4	REL	1.54693466267	4
U10	True	4	SEG	3.09185218058	5
U10	True	4	RAN	2.72037433476	5
U10	True	4	REL	3.46271175951	5
U10	True	4	SEG	-0.0877654038617	1
U10	True	4	RAN	0.0139681153603	2
U10	True	4	REL	0.00891334469871	2
U10	True	4	SEG	1.5918261463	4
U10	True	4	RAN	1.82279613386	4
U10	True	4	REL	1.92469044154	5
U10	False	5	SEG	-0.0160432351187	2
U10	False	5	RAN	-0.341236040787	0
U10	False	5	REL	-0.564379592101	0
U10	False	5	SEG	-0.461281447726	0
U10	False	5	RAN	-0.10814215862	1
U10	False	5	REL	-1.02443289049	0
U10	True	5	SEG	-0.256621510964	1
U10	True	5	RAN	-0.512477151804	0
U10	True	5	REL	-0.657659161649	0
U10	True	5	SEG	-0.701859723572	0
U10	True	5	RAN	-0.279383269637	0
U10	True	5	REL	-1.11771246004	0
U11	False	2	SEG	0.206385196923	3
U11	False	2	RAN	0.274762494368	3
U11	False	2	REL	0.243579566931	3
U11	False	2	SEG	0.27466670434	3
U11	False	2	RAN	0.406171753819	3
U11	False	2	REL	0.306984097268	3
U11	True	2	SEG	0.304011576679	3
U11	True	2	RAN	0.186816603374	3
U11	True	2	REL	0.23284242577	3
U11	True	2	SEG	0.372293084096	3
U11	True	2	RAN	0.318225862825	3
U11	True	2	REL	0.296246956107	3
U11	False	3	SEG	-0.3852872209	0
U11	False	3	RAN	-0.234958674138	1
U11	False	3	REL	-0.429352812166	0
U11	True	3	SEG	0.0274714678177	2
U11	True	3	RAN	-0.199447453719	1
U11	True	3	REL	-0.066599354596	1
U11	True	3	SEG	-0.309907897621	0
U11	True	3	RAN	-0.253347510311	1
U11	True	3	REL	-0.261412070148	1
U11	False	4	SEG	0.0405200621508	2
U11	False	4	RAN	0.102180573851	2
U11	False	4	REL	0.0128051295668	2
U11	False	4	SEG	0.658860702593	4
U11	False	4	RAN	0.357275724972	3
U11	False	4	REL	0.326652864758	3
U11	True	4	SEG	-0.120410304662	1
U11	True	4	RAN	0.026408015379	2
U11	True	4	REL	0.193462100042	3
U11	False	4	SEG	0.49793033578	4
U11	False	4	RAN	0.2815031665	3
U11	False	4	REL	0.507309835233	4
U11	False	5	SEG	0.110626275513	2
U11	False	5	RAN	0.29936568916	3
U11	False	5	REL	0.111216500496	2
U11	False	5	SEG	-0.165522839419	1
U11	False	5	RAN	0.337106017143	3
U11	False	5	REL	0.216742334893	3
U11	False	5	SEG	0.0370155016136	2
U11	False	5	RAN	0.14545497286	2
U11	False	5	REL	0.14545497286	2
U11	False	5	SEG	-0.239133613318	1
U11	False	5	RAN	0.183195300843	3
U11	False	5	REL	0.250980807257	3
U12	True	2	SEG	-0.587643306003	0
U12	True	2	RAN	-0.434315332927	0
U12	True	2	REL	-0.399579568675	0
U12	True	2	SEG	-0.397648033358	0
U12	True	2	RAN	-0.382722383141	0
U12	True	2	REL	-0.364335756891	0
U12	True	2	SEG	-0.630360956481	0
U12	True	2	RAN	-0.478050203576	0
U12	True	2	REL	-0.523123878201	0
U12	True	2	SEG	-0.440365683836	0
U12	True	2	RAN	-0.42645725379	0
U12	True	2	REL	-0.487880066416	0
U12	False	3	SEG	-0.0967956277059	1
U12	False	3	RAN	-0.363643613255	0
U12	False	3	REL	-0.104580346109	1
U12	False	3	SEG	0.156012899165	2
U12	False	3	RAN	0.189457493659	3
U12	False	3	REL	0.328719560993	3
U12	True	3	SEG	-0.242063042837	1
U12	True	3	RAN	-0.730865754516	0
U12	True	3	REL	-0.348700290235	0
U12	False	3	SEG	0.0107454840335	2
U12	False	3	RAN	-0.177764647601	1
U12	False	3	REL	0.0845996168661	2
U12	False	4	SEG	0.674236216274	4
U12	False	4	RAN	0.531135372634	4
U12	False	4	REL	0.779596731932	4
U12	False	4	SEG	0.708668474906	4
U12	False	4	RAN	0.34955747617	3
U12	False	4	REL	0.755022584278	4
U12	False	4	SEG	0.0511056044976	2
U12	False	4	RAN	-0.210213909744	1
U12	False	4	REL	0.345732149302	3
U12	False	4	SEG	0.0855378631299	2
U12	False	4	RAN	-0.391791806208	0
U12	False	4	REL	0.321158001648	3
U12	False	5	SEG	1.14035407588	4
U12	False	5	RAN	0.71159738037	4
U12	False	5	REL	0.822262948258	4
U12	False	5	SEG	0.691037612986	4
U12	False	5	RAN	0.0744648413649	2
U12	False	5	REL	0.333550414371	3
U12	True	5	SEG	0.375545463593	3
U12	True	5	RAN	0.0946024656913	2
U12	True	5	REL	0.230734640016	3
U12	True	5	SEG	-0.0737709993005	1
U12	True	5	RAN	-0.542530073314	0
U12	True	5	REL	-0.257977893871	1
U13	False	2	SEG	-0.176515581737	1
U13	False	2	RAN	-0.250623553891	1
U13	False	2	REL	0.060530874746	2
U13	False	2	SEG	-0.599687031037	0
U13	False	2	RAN	-0.811945341671	0
U13	False	2	REL	-0.763155177502	0
U13	False	2	SEG	-0.741071618764	0
U13	False	2	RAN	-0.801330810282	0
U13	False	2	REL	-0.407938283408	0
U13	False	2	SEG	-1.16424306806	0
U13	False	2	RAN	-1.36265259806	0
U13	False	2	REL	-1.23162433566	0
U13	False	3	SEG	1.48321394847	4
U13	False	3	RAN	1.01193562179	4
U13	False	3	REL	1.55197324703	4
U13	False	3	SEG	-0.506026355631	0
U13	False	3	RAN	-0.368404977755	0
U13	False	3	REL	-0.44097567059	0
