userid	relevant_before	taskid	estimation	perceived_ratio
U15	False	2	RAN	-0.133947625721
U15	False	2	REL	0.628192426326
U15	False	2	SEG	0.30395534043
U15	False	2	RAN	-0.212857168734
U15	False	2	REL	0.319474660253
U15	False	2	SEG	0.227213493391
U15	False	2	RAN	0.264953821374
U15	False	2	REL	0.611476393849
U15	False	4	SEG	-0.0727593542824
U15	False	4	RAN	-0.117495248124
U15	False	4	REL	-0.09608115362
U15	False	4	SEG	0.0160243039456
U15	False	4	RAN	0.0687437462549
U15	False	4	REL	-0.537392057315
U15	True	4	SEG	-0.338331549211
U15	True	4	RAN	-0.164378242088
U15	True	4	REL	-0.112192488917
U15	False	4	SEG	-0.249547890983
U15	False	4	RAN	0.0218607522908
U15	False	4	REL	-0.553503392613
U15	True	5	SEG	1.04586694466
U15	True	5	RAN	-0.0270775972638
U15	True	5	REL	-0.428674228594
U15	True	5	SEG	0.464660524128
U15	True	5	RAN	-0.57988454327
U15	True	5	REL	-0.811054405458
U15	True	5	SEG	0.120144311842
U15	True	5	RAN	-0.0936116231687
U15	True	5	REL	-0.376367577284
U15	True	5	SEG	-0.461062108686
U15	True	5	RAN	-0.646418569175
U15	True	5	REL	-0.758747754149
U16	True	2	SEG	0.276565167319
U16	True	2	RAN	0.418921270654
U16	True	2	REL	0.270250056591
U16	True	2	SEG	0.259140364024
U16	True	2	RAN	0.252383581561
U16	True	2	REL	0.103712367498
U16	True	2	SEG	0.24474145329
U16	True	2	RAN	0.316893297951
U16	True	2	REL	0.201744775927
U16	True	2	SEG	0.227316649995
U16	True	2	RAN	0.150355608859
U16	True	2	REL	0.0352070868347
U16	False	3	SEG	0.0661765231418
U16	False	3	RAN	0.1715370388
U16	False	3	REL	0.352233899867
U16	False	3	SEG	0.202543849873
U16	False	3	RAN	-0.188480574081
U16	False	3	REL	0.409558019257
U16	False	3	SEG	-0.137063370979
U16	False	3	RAN	0.343990094453
U16	False	3	REL	0.263322191385
U16	False	4	SEG	0.0999187088218
U16	False	4	RAN	-0.127482432745
U16	False	4	REL	0.0605697987578
U16	False	4	SEG	0.125697103583
U16	False	4	RAN	-0.0521701028611
U16	False	4	REL	-0.244890366876
U16	True	4	SEG	0.323985195135
U16	True	4	RAN	-0.00877646209011
U16	True	4	REL	0.179275769413
U16	True	4	SEG	0.349763589896
U16	True	4	RAN	0.0665358677939
U16	True	4	REL	-0.126184396221
U16	False	5	SEG	0.270410166189
U16	False	5	RAN	0.333114871959
U16	False	5	REL	0.314454449241
U16	False	5	SEG	0.101959338426
U16	False	5	RAN	0.302630033888
U16	False	5	REL	0.122658654439
U16	False	5	SEG	0.0646622787053
U16	False	5	RAN	0.00594095754017
U16	False	5	REL	0.0590784572373
U16	False	5	SEG	-0.103788549058
